#t, t_sol, st_sol, v_sol, sv_sol, ph_sol, sph_sol, stabilite
188.91;24.61;0.02;381.82;0.39;7.05;0.01;0.00
191.70;24.62;0.01;381.64;0.48;7.04;0.01;0.00
194.50;24.63;0.01;381.64;0.48;7.04;0.01;0.00
197.29;24.63;0.01;381.82;0.39;7.05;0.01;0.00
200.09;24.62;0.01;381.73;0.45;7.05;0.01;0.00
202.88;24.63;0.01;381.55;0.50;7.04;0.01;0.00
205.67;24.63;0.01;381.36;0.48;7.04;0.01;0.00
208.47;24.63;0.01;381.73;0.45;7.05;0.01;0.00
211.26;24.63;0.01;381.73;0.45;7.05;0.01;0.00
214.06;24.63;0.01;381.27;0.45;7.04;0.01;0.00
216.85;24.63;0.01;381.45;0.50;7.04;0.01;0.00
219.64;24.64;0.01;381.55;0.50;7.04;0.01;0.00
222.44;24.64;0.01;381.36;0.48;7.04;0.01;0.00
225.24;24.65;0.00;381.18;0.39;7.04;0.01;0.00
